Stepgroup Label,Stepgroup Loop,Group,Bidder Group,auctionPrice,highBid,myProfit,newBids,numBidders,rPrice,secondBid
rprice,1,,S.1,0,9,0,a:1:{i:0;d:9;},1,10,0
rprice,2,,S.1,5,49,5,a:1:{i:0;d:49;},1,5,0
rprice,3,,S.1,36,44,36,a:10:{i:0;d:44;i:1;d:36;i:2;d:10;i:3;d:7;i:4;d:7;i:5;d:6;i:6;d:5;i:7;d:4;i:8;d:3;i:9;d:0;},10,25,36
rprice,4,,S.1,83,100,83,a:10:{i:0;d:100;i:1;d:83;i:2;d:36;i:3;d:20;i:4;d:11;i:5;d:6;i:6;d:5;i:7;d:1;i:8;d:0;i:9;d:0;},10,30,83
rprice,5,,S.1,55,80,55,a:7:{i:0;d:80;i:1;d:55;i:2;d:0;i:3;d:0;i:4;d:0;i:5;d:0;i:6;d:0;},7,25,55
rprice,6,,S.1,5,78,5,a:1:{i:0;d:78;},1,5,0
rprice,7,,S.1,68,68,68,a:10:{i:0;d:68;i:1;d:68;i:2;d:46;i:3;d:14;i:4;d:7;i:5;d:6;i:6;d:6;i:7;d:0;i:8;d:0;i:9;d:0;},10,50,68
rprice,8,,S.1,20,73,20,a:4:{i:0;d:73;i:1;d:11;i:2;d:9;i:3;d:0;},4,20,11
rprice,9,,S.1,25,53,25,a:7:{i:0;d:53;i:1;d:13;i:2;d:7;i:3;d:7;i:4;d:3;i:5;d:0;i:6;d:0;},7,25,13
rprice,10,,S.1,0,0,0,a:1:{i:0;d:0;},1,7,0
rprice,11,,S.1,0,1,0,a:1:{i:0;d:1;},1,4,0
rprice,12,,S.1,44,59,44,a:10:{i:0;d:59;i:1;d:44;i:2;d:37;i:3;d:11;i:4;d:9;i:5;d:9;i:6;d:8;i:7;d:8;i:8;d:0;i:9;d:0;},10,20,44
rprice,13,,S.1,20,53,20,a:4:{i:0;d:53;i:1;d:20;i:2;d:1;i:3;d:0;},4,10,20
rprice,14,,S.1,88,88,88,a:7:{i:0;d:88;i:1;d:88;i:2;d:78;i:3;d:68;i:4;d:7;i:5;d:0;i:6;d:0;},7,20,88
rprice,15,,S.1,37,55,37,a:7:{i:0;d:55;i:1;d:37;i:2;d:14;i:3;d:3;i:4;d:1;i:5;d:0;i:6;d:0;},7,20,37
rprice,16,,S.1,21,23,21,a:4:{i:0;d:23;i:1;d:21;i:2;d:6;i:3;d:2;},4,15,21
rprice,17,,S.1,59,97,59,a:4:{i:0;d:97;i:1;d:59;i:2;d:0;i:3;d:0;},4,8,59
rprice,18,,S.1,66,75,66,a:7:{i:0;d:75;i:1;d:66;i:2;d:10;i:3;d:0;i:4;d:0;i:5;d:0;i:6;d:0;},7,25,66
rprice,19,,S.1,18,75,18,a:4:{i:0;d:75;i:1;d:18;i:2;d:17;i:3;d:17;},4,13,18
rprice,20,,S.1,70,78,70,a:10:{i:0;d:78;i:1;d:70;i:2;d:66;i:3;d:36;i:4;d:13;i:5;d:8;i:6;d:3;i:7;d:1;i:8;d:1;i:9;d:0;},10,45,70
rprice,21,,S.1,2,5,2,a:1:{i:0;d:5;},1,2,0
rprice,22,,S.1,31,66,31,a:7:{i:0;d:66;i:1;d:21;i:2;d:12;i:3;d:3;i:4;d:2;i:5;d:1;i:6;d:0;},7,31,21
rprice,23,,S.1,41,47,41,a:7:{i:0;d:47;i:1;d:29;i:2;d:26;i:3;d:17;i:4;d:5;i:5;d:0;i:6;d:0;},7,41,29
rprice,24,,S.1,51,61,51,a:10:{i:0;d:61;i:1;d:41;i:2;d:31;i:3;d:29;i:4;d:16;i:5;d:10;i:6;d:10;i:7;d:7;i:8;d:7;i:9;d:2;},10,51,41
rprice,25,,S.1,3,66,3,a:1:{i:0;d:66;},1,3,0
rprice,26,,S.1,70,78,70,a:10:{i:0;d:78;i:1;d:70;i:2;d:66;i:3;d:36;i:4;d:13;i:5;d:8;i:6;d:3;i:7;d:1;i:8;d:1;i:9;d:0;},10,45,70
rprice,27,,S.1,83,86,83,a:10:{i:0;d:86;i:1;d:83;i:2;d:47;i:3;d:46;i:4;d:33;i:5;d:24;i:6;d:16;i:7;d:13;i:8;d:8;i:9;d:5;},10,31,83
rprice,28,,S.1,64,88,64,a:10:{i:0;d:88;i:1;d:64;i:2;d:61;i:3;d:33;i:4;d:26;i:5;d:10;i:6;d:8;i:7;d:2;i:8;d:0;i:9;d:0;},10,32,64
rprice,29,,S.1,80,91,80,a:10:{i:0;d:91;i:1;d:80;i:2;d:53;i:3;d:21;i:4;d:13;i:5;d:5;i:6;d:4;i:7;d:0;i:8;d:0;i:9;d:0;},10,34,80
rprice,30,,S.1,83,88,83,a:7:{i:0;d:88;i:1;d:83;i:2;d:61;i:3;d:46;i:4;d:13;i:5;d:2;i:6;d:0;},7,21,83
rprice,31,,S.1,42,78,42,a:7:{i:0;d:78;i:1;d:42;i:2;d:39;i:3;d:30;i:4;d:9;i:5;d:5;i:6;d:1;},7,32,42
rprice,32,,S.1,4,83,4,a:1:{i:0;d:83;},1,4,0
rprice,33,,S.1,5,9,5,a:1:{i:0;d:9;},1,5,0
rprice,34,,S.1,66,75,66,a:10:{i:0;d:75;i:1;d:66;i:2;d:44;i:3;d:33;i:4;d:10;i:5;d:10;i:6;d:1;i:7;d:1;i:8;d:0;i:9;d:0;},10,32,66
rprice,35,,S.1,0,2,0,a:1:{i:0;d:2;},1,4,0
rprice,36,,S.1,64,94,64,a:10:{i:0;d:94;i:1;d:64;i:2;d:12;i:3;d:10;i:4;d:9;i:5;d:5;i:6;d:2;i:7;d:0;i:8;d:0;i:9;d:0;},10,32,64
rprice,37,,S.1,0,9,0,a:4:{i:0;d:9;i:1;d:9;i:2;d:1;i:3;d:0;},4,21,9
rprice,38,,S.1,32,41,32,a:7:{i:0;d:41;i:1;d:24;i:2;d:15;i:3;d:7;i:4;d:3;i:5;d:2;i:6;d:0;},7,32,24
rprice,39,,S.1,2,59,2,a:1:{i:0;d:59;},1,2,0
rprice,40,,S.1,0,0,0,a:1:{i:0;d:0;},1,3,0
rprice,41,,S.1,88,94,88,a:10:{i:0;d:94;i:1;d:88;i:2;d:47;i:3;d:21;i:4;d:19;i:5;d:14;i:6;d:5;i:7;d:0;i:8;d:0;i:9;d:0;},10,31,88
rprice,42,,S.1,36,80,36,a:7:{i:0;d:80;i:1;d:36;i:2;d:24;i:3;d:16;i:4;d:7;i:5;d:5;i:6;d:0;},7,21,36
rprice,43,,S.1,0,1,0,a:1:{i:0;d:1;},1,2,0
rprice,44,,S.1,13,29,13,a:4:{i:0;d:29;i:1;d:13;i:2;d:3;i:3;d:0;},4,10,13
rprice,45,,S.1,59,66,59,a:7:{i:0;d:66;i:1;d:59;i:2;d:59;i:3;d:47;i:4;d:25;i:5;d:3;i:6;d:0;},7,21,59
rprice,46,,S.1,2,49,2,a:1:{i:0;d:49;},1,2,0
rprice,47,,S.1,32,61,32,a:10:{i:0;d:61;i:1;d:31;i:2;d:17;i:3;d:16;i:4;d:13;i:5;d:9;i:6;d:4;i:7;d:2;i:8;d:2;i:9;d:0;},10,32,31
