bidder_group,round,ai_reserve_price,human_reserve_price,num_bidder,bid_prices,mode,context_num
S.1,31,25,32,7,"[78, 42, 39, 30, 9, 5, 1]",regionshuffle,30
S.1,32,5,4,1,[83],regionshuffle,30
S.1,33,4,5,1,[9],regionshuffle,30
S.1,34,31,32,10,"[75, 66, 44, 33, 10, 10, 1, 1, 0, 0]",regionshuffle,30
S.1,35,4,4,1,[2],regionshuffle,30
S.1,36,45,32,10,"[94, 64, 12, 10, 9, 5, 2, 0, 0, 0]",regionshuffle,30
S.1,37,13,21,4,"[9, 9, 1, 0]",regionshuffle,30
S.1,38,25,32,7,"[41, 24, 15, 7, 3, 2, 0]",regionshuffle,30
S.1,39,3,2,1,[59],regionshuffle,30
S.1,40,4,3,1,[0],regionshuffle,30
S.1,41,34,31,10,"[94, 88, 47, 21, 19, 14, 5, 0, 0, 0]",regionshuffle,30
S.1,42,31,21,7,"[80, 36, 24, 16, 7, 5, 0]",regionshuffle,30
S.1,43,3,2,1,[1],regionshuffle,30
S.1,44,10,10,4,"[29, 13, 3, 0]",regionshuffle,30
S.1,45,21,21,7,"[66, 59, 59, 47, 25, 3, 0]",regionshuffle,30
S.1,46,3,2,1,[49],regionshuffle,30
S.1,47,30,32,10,"[61, 31, 17, 16, 13, 9, 4, 2, 2, 0]",regionshuffle,30
S.1,48,31,32,7,"[47, 36, 6, 3, 2, 0, 0]",regionshuffle,30
S.1,49,10,10,4,"[11, 8, 8, 0]",regionshuffle,30
S.1,50,45,15,10,"[100, 66, 47, 34, 24, 12, 5, 1, 0, 0]",regionshuffle,30
S.1,51,4,2,1,[9],regionshuffle,30
S.1,52,25,23,7,"[51, 47, 37, 16, 3, 1, 0]",regionshuffle,30
S.1,53,10,9,4,"[23, 2, 1, 0]",regionshuffle,30
S.1,54,35,34,10,"[49, 47, 29, 22, 17, 13, 5, 3, 0, 0]",regionshuffle,30
S.1,55,5,2,1,[1],regionshuffle,30
S.1,56,10,9,4,"[27, 9, 1, 0]",regionshuffle,30
S.1,57,31,50,10,"[100, 49, 29, 22, 21, 9, 6, 4, 1, 1]",regionshuffle,30
S.1,58,10,10,4,"[44, 36, 34, 0]",regionshuffle,30
S.1,59,5,2,1,[0],regionshuffle,30
S.1,60,32,34,10,"[91, 57, 5, 1, 0, 0, 0, 0, 0, 0]",regionshuffle,30
S.10,31,28,48,7,"[83, 64, 64, 53, 31, 10, 7]",regionshuffle,30
S.10,32,3,1,1,[42],regionshuffle,30
S.10,33,28,57,7,"[73, 41, 11, 2, 1, 1, 0]",regionshuffle,30
S.10,34,46,67,10,"[91, 55, 41, 36, 11, 3, 3, 1, 1, 1]",regionshuffle,30
S.10,35,46,78,10,"[53, 49, 44, 42, 36, 25, 19, 0, 0, 0]",regionshuffle,30
S.10,36,46,67,10,"[97, 91, 21, 10, 2, 2, 1, 1, 1, 0]",regionshuffle,30
S.10,37,46,79,10,"[97, 51, 44, 34, 31, 25, 2, 0, 0, 0]",regionshuffle,30
S.10,38,16,37,4,"[55, 51, 44, 1]",regionshuffle,30
S.10,39,16,45,4,"[47, 23, 1, 0]",regionshuffle,30
S.10,40,28,78,7,"[47, 11, 6, 1, 1, 0, 0]",regionshuffle,30
S.10,41,28,56,7,"[94, 55, 44, 25, 13, 3, 0]",regionshuffle,30
S.10,42,16,34,4,"[39, 23, 13, 4]",regionshuffle,30
S.10,43,28,56,7,"[100, 88, 70, 31, 22, 5, 0]",regionshuffle,30
S.10,44,46,78,10,"[97, 78, 53, 49, 47, 34, 26, 1, 0, 0]",regionshuffle,30
S.10,45,16,23,4,"[41, 31, 14, 5]",regionshuffle,30
S.10,46,16,45,4,"[88, 83, 57, 10]",regionshuffle,30
S.10,47,16,56,4,"[88, 26, 15, 3]",regionshuffle,30
S.10,48,28,78,7,"[83, 64, 64, 53, 31, 10, 7]",regionshuffle,30
S.10,49,46,89,10,"[97, 51, 44, 34, 31, 25, 2, 0, 0, 0]",regionshuffle,30
S.10,50,28,67,7,"[88, 80, 70, 53, 6, 1, 0]",regionshuffle,30
S.10,51,46,89,10,"[97, 51, 44, 34, 31, 25, 2, 0, 0, 0]",regionshuffle,30
S.10,52,16,34,4,"[39, 5, 0, 0]",regionshuffle,30
S.10,53,46,78,10,"[86, 49, 31, 27, 9, 6, 4, 3, 0, 0]",regionshuffle,30
S.10,54,16,45,4,"[66, 7, 0, 0]",regionshuffle,30
S.10,55,46,99,10,"[100, 78, 66, 42, 37, 37, 15, 11, 3, 1]",regionshuffle,30
S.10,56,46,78,10,"[97, 51, 44, 34, 31, 25, 2, 0, 0, 0]",regionshuffle,30
S.10,57,28,79,7,"[91, 83, 73, 49, 31, 13, 5]",regionshuffle,30
S.10,58,16,45,4,"[22, 5, 5, 3]",regionshuffle,30
S.10,59,46,99,10,"[86, 57, 44, 42, 39, 31, 27, 1, 1, 0]",regionshuffle,30
S.10,60,46,78,10,"[97, 51, 44, 34, 31, 25, 2, 0, 0, 0]",regionshuffle,30
S.11,31,8,8,4,"[88, 83, 57, 10]",regionshuffle,30
S.11,32,15,20,7,"[88, 75, 61, 51, 6, 0, 0]",regionshuffle,30
S.11,33,20,25,10,"[88, 64, 34, 21, 19, 10, 9, 5, 1, 0]",regionshuffle,30
S.11,34,8,10,4,"[14, 3, 1, 0]",regionshuffle,30
S.11,35,15,15,7,"[44, 20, 7, 0, 0, 0, 0]",regionshuffle,30
S.11,36,8,8,4,"[39, 23, 13, 4]",regionshuffle,30
S.11,37,8,9,4,"[88, 83, 57, 10]",regionshuffle,30
S.11,38,15,17,7,"[94, 42, 21, 20, 8, 6, 0]",regionshuffle,30
S.11,39,15,17,7,"[97, 49, 29, 27, 9, 4, 4]",regionshuffle,30
S.11,40,8,8,4,"[68, 68, 2, 0]",regionshuffle,30
S.11,41,15,17,7,"[44, 20, 7, 0, 0, 0, 0]",regionshuffle,30
S.11,42,10,11,1,[5],regionshuffle,30
S.11,43,15,15,7,"[91, 57, 24, 23, 20, 9, 5]",regionshuffle,30
S.11,44,5,10,1,[39],regionshuffle,30
S.11,45,15,17,7,"[97, 49, 29, 27, 9, 4, 4]",regionshuffle,30
S.11,46,8,8,4,"[41, 33, 23, 0]",regionshuffle,30
S.11,47,100,10,1,[36],regionshuffle,30
S.11,48,8,8,4,"[80, 68, 59, 5]",regionshuffle,30
S.11,49,15,17,7,"[70, 64, 57, 57, 20, 4, 1]",regionshuffle,30
S.11,50,8,8,4,"[47, 36, 5, 3]",regionshuffle,30
S.11,51,15,20,7,"[49, 46, 33, 20, 13, 4, 0]",regionshuffle,30
S.11,52,15,20,7,"[88, 75, 61, 51, 6, 0, 0]",regionshuffle,30
S.11,53,15,25,7,"[44, 20, 7, 0, 0, 0, 0]",regionshuffle,30
S.11,54,15,20,7,"[49, 46, 33, 20, 13, 4, 0]",regionshuffle,30
S.11,55,8,8,4,"[39, 5, 0, 0]",regionshuffle,30
S.11,56,20,25,10,"[97, 51, 44, 34, 31, 25, 2, 0, 0, 0]",regionshuffle,30
S.11,57,15,15,7,"[91, 83, 73, 49, 31, 13, 5]",regionshuffle,30
S.11,58,10,10,1,[39],regionshuffle,30
S.11,59,8,8,4,"[55, 51, 44, 1]",regionshuffle,30
S.11,60,8,8,4,"[36, 22, 2, 0]",regionshuffle,30
S.12,31,40,66,7,"[49, 39, 24, 3, 2, 2, 1]",regionshuffle,30
S.12,32,15,50,1,[10],regionshuffle,30
S.12,33,30,40,4,"[23, 21, 6, 2]",regionshuffle,30
S.12,34,25,35,4,"[2, 1, 0, 0]",regionshuffle,30
S.12,35,45,30,4,"[18, 17, 0, 0]",regionshuffle,30
S.12,36,20,30,1,[13],regionshuffle,30
S.12,37,75,75,10,"[100, 73, 49, 42, 22, 11, 7, 4, 4, 2]",regionshuffle,30
S.12,38,20,20,1,[0],regionshuffle,30
S.12,39,65,50,10,"[100, 73, 49, 42, 22, 11, 7, 4, 4, 2]",regionshuffle,30
S.12,40,25,20,4,"[9, 9, 1, 0]",regionshuffle,30
S.12,41,25,10,4,"[1, 0, 0, 0]",regionshuffle,30
S.12,42,15,25,1,[2],regionshuffle,30
S.12,43,20,10,1,[1],regionshuffle,30
S.12,44,25,5,1,[34],regionshuffle,30
S.12,45,15,10,1,[1],regionshuffle,30
S.12,46,56,10,4,"[46, 20, 0, 0]",regionshuffle,30
S.12,47,30,10,4,"[100, 5, 2, 0]",regionshuffle,30
S.12,48,20,5,1,[0],regionshuffle,30
S.12,49,25,15,4,"[46, 20, 0, 0]",regionshuffle,30
S.12,50,15,10,1,[30],regionshuffle,30
S.12,51,15,10,1,[0],regionshuffle,30
S.12,52,45,20,4,"[37, 8, 0, 0]",regionshuffle,30
S.12,53,25,25,4,"[34, 9, 6, 0]",regionshuffle,30
S.12,54,40,25,4,"[94, 78, 61, 0]",regionshuffle,30
S.12,55,40,50,7,"[86, 46, 41, 19, 12, 3, 3]",regionshuffle,30
S.12,56,50,50,10,"[91, 73, 59, 22, 8, 7, 1, 0, 0, 0]",regionshuffle,30
S.12,57,65,60,10,"[91, 86, 83, 66, 61, 53, 7, 1, 1, 0]",regionshuffle,30
S.12,58,25,20,4,"[94, 78, 51, 23]",regionshuffle,30
S.12,59,20,50,1,[66],regionshuffle,30
S.12,60,75,80,10,"[59, 44, 37, 11, 9, 9, 8, 8, 0, 0]",regionshuffle,30
S.13,31,25,25,10,"[100, 55, 34, 26, 23, 20, 19, 15, 0, 0]",regionshuffle,30
S.13,32,25,25,7,"[70, 66, 59, 31, 12, 2, 0]",regionshuffle,30
S.13,33,25,25,4,"[61, 42, 3, 0]",regionshuffle,30
S.13,34,25,25,7,"[97, 61, 31, 11, 4, 0, 0]",regionshuffle,30
S.13,35,25,25,10,"[86, 57, 51, 44, 37, 23, 16, 9, 3, 1]",regionshuffle,30
S.13,36,10,10,1,[9],regionshuffle,30
S.13,37,10,10,1,[0],regionshuffle,30
S.13,38,10,10,1,[27],regionshuffle,30
S.13,39,25,25,7,"[86, 36, 33, 33, 2, 0, 0]",regionshuffle,30
S.13,40,10,25,1,[46],regionshuffle,30
S.13,41,25,25,10,"[64, 44, 34, 12, 4, 2, 0, 0, 0, 0]",regionshuffle,30
S.13,42,25,25,10,"[91, 91, 78, 51, 15, 14, 5, 3, 2, 1]",regionshuffle,30
S.13,43,25,25,4,"[49, 44, 13, 3]",regionshuffle,30
S.13,44,25,25,7,"[78, 61, 46, 36, 22, 19, 6]",regionshuffle,30
S.13,45,25,25,7,"[75, 66, 10, 0, 0, 0, 0]",regionshuffle,30
S.13,46,25,25,4,"[46, 41, 19, 3]",regionshuffle,30
S.13,47,10,25,1,[59],regionshuffle,30
S.13,48,10,25,1,[46],regionshuffle,30
S.13,49,25,25,10,"[78, 70, 61, 59, 57, 39, 23, 13, 5, 1]",regionshuffle,30
S.13,50,10,25,1,[9],regionshuffle,30
S.13,51,25,25,4,"[91, 22, 0, 0]",regionshuffle,30
S.13,52,25,25,7,"[49, 44, 21, 19, 7, 4, 0]",regionshuffle,30
S.13,53,25,25,10,"[75, 66, 44, 33, 10, 10, 1, 1, 0, 0]",regionshuffle,30
S.13,54,25,25,7,"[57, 57, 49, 24, 4, 1, 0]",regionshuffle,30
S.13,55,25,25,4,"[70, 44, 1, 0]",regionshuffle,30
S.13,56,10,25,1,[80],regionshuffle,30
S.13,57,25,25,7,"[47, 25, 16, 12, 10, 3, 1]",regionshuffle,30
S.13,58,10,25,1,[0],regionshuffle,30
S.13,59,25,25,4,"[78, 10, 0, 0]",regionshuffle,30
S.13,60,25,25,7,"[100, 53, 44, 5, 1, 0, 0]",regionshuffle,30
S.14,31,40,25,4,"[49, 44, 13, 3]",regionshuffle,30
S.14,32,30,35,7,"[47, 25, 9, 9, 3, 0, 0]",regionshuffle,30
S.14,33,5,1,1,[86],regionshuffle,30
S.14,34,30,25,4,"[31, 1, 0, 0]",regionshuffle,30
S.14,35,5,1,1,[42],regionshuffle,30
S.14,36,40,40,10,"[94, 64, 12, 10, 9, 5, 2, 0, 0, 0]",regionshuffle,30
S.14,37,5,1,1,[1],regionshuffle,30
S.14,38,5,1,1,[0],regionshuffle,30
S.14,39,40,40,10,"[51, 39, 33, 29, 11, 7, 3, 1, 0, 0]",regionshuffle,30
S.14,40,30,25,4,"[23, 7, 5, 0]",regionshuffle,30
S.14,41,30,30,7,"[91, 78, 10, 3, 2, 0, 0]",regionshuffle,30
S.14,42,40,40,10,"[86, 75, 47, 42, 23, 13, 10, 5, 0, 0]",regionshuffle,30
S.14,43,40,40,10,"[88, 39, 11, 6, 4, 2, 2, 0, 0, 0]",regionshuffle,30
S.14,44,40,20,4,"[27, 9, 1, 0]",regionshuffle,30
S.14,45,30,30,7,"[15, 6, 4, 1, 0, 0, 0]",regionshuffle,30
S.14,46,30,30,7,"[78, 59, 33, 25, 7, 1, 1]",regionshuffle,30
S.14,47,30,20,4,"[66, 2, 1, 0]",regionshuffle,30
S.14,48,30,20,4,"[7, 6, 4, 0]",regionshuffle,30
S.14,49,40,30,10,"[66, 61, 41, 31, 29, 16, 10, 10, 7, 1]",regionshuffle,30
S.14,50,5,1,1,[59],regionshuffle,30
S.14,51,40,40,10,"[61, 31, 17, 16, 13, 9, 4, 2, 2, 0]",regionshuffle,30
S.14,52,30,20,4,"[2, 1, 0, 0]",regionshuffle,30
S.14,53,30,20,4,"[41, 15, 7, 0]",regionshuffle,30
S.14,54,30,20,4,"[27, 9, 1, 0]",regionshuffle,30
S.14,55,5,1,1,[6],regionshuffle,30
S.14,56,40,40,10,"[94, 88, 47, 21, 19, 14, 5, 0, 0, 0]",regionshuffle,30
S.14,57,5,1,1,[0],regionshuffle,30
S.14,58,40,40,10,"[94, 64, 12, 10, 9, 5, 2, 0, 0, 0]",regionshuffle,30
S.14,59,40,40,10,"[70, 57, 51, 47, 21, 10, 10, 5, 3, 3]",regionshuffle,30
S.14,60,40,40,10,"[41, 41, 14, 14, 8, 2, 1, 0, 0, 0]",regionshuffle,30
S.15,31,35,20,10,"[78, 70, 61, 59, 57, 39, 23, 13, 5, 1]",regionshuffle,30
S.15,32,25,18,7,"[75, 29, 27, 16, 13, 0, 0]",regionshuffle,30
S.15,33,1,1,1,[12],regionshuffle,30
S.15,34,12,10,4,"[23, 21, 6, 2]",regionshuffle,30
S.15,35,12,12,4,"[41, 41, 14, 0]",regionshuffle,30
S.15,36,25,25,10,"[86, 57, 51, 44, 37, 23, 16, 9, 3, 1]",regionshuffle,30
S.15,37,1,1,1,[1],regionshuffle,30
S.15,38,35,25,10,"[80, 24, 23, 16, 7, 5, 5, 1, 0, 0]",regionshuffle,30
S.15,39,35,20,10,"[70, 66, 59, 31, 23, 12, 2, 0, 0, 0]",regionshuffle,30
S.15,40,1,1,1,[2],regionshuffle,30
S.15,41,35,20,10,"[100, 55, 37, 22, 9, 8, 7, 4, 2, 0]",regionshuffle,30
S.15,42,25,12,7,"[47, 36, 13, 6, 3, 0, 0]",regionshuffle,30
S.15,43,35,20,10,"[100, 64, 49, 7, 6, 5, 3, 0, 0, 0]",regionshuffle,30
S.15,44,1,1,1,[3],regionshuffle,30
S.15,45,1,1,1,[1],regionshuffle,30
S.15,46,1,0,1,[27],regionshuffle,30
S.15,47,25,15,7,"[36, 10, 10, 7, 2, 1, 0]",regionshuffle,30
S.15,48,1,1,1,[31],regionshuffle,30
S.15,49,25,12,7,"[49, 39, 24, 3, 2, 2, 1]",regionshuffle,30
S.15,50,1,1,1,[5],regionshuffle,30
S.15,51,35,20,10,"[41, 41, 14, 14, 8, 2, 1, 0, 0, 0]",regionshuffle,30
S.15,52,12,10,4,"[59, 2, 0, 0]",regionshuffle,30
S.15,53,1,1,1,[0],regionshuffle,30
S.15,54,35,15,10,"[86, 57, 51, 44, 37, 23, 16, 9, 3, 1]",regionshuffle,30
S.15,55,35,25,10,"[100, 73, 49, 42, 22, 11, 7, 4, 4, 2]",regionshuffle,30
S.15,56,25,15,7,"[46, 39, 31, 13, 5, 2, 0]",regionshuffle,30
S.15,57,1,0,1,[13],regionshuffle,30
S.15,58,35,20,10,"[100, 73, 49, 42, 22, 11, 7, 4, 4, 2]",regionshuffle,30
S.15,59,12,10,4,"[47, 36, 5, 0]",regionshuffle,30
S.15,60,25,15,7,"[70, 46, 42, 41, 34, 10, 2]",regionshuffle,30
S.16,31,5,3,7,"[53, 34, 21, 6, 1, 0, 0]",regionshuffle,30
S.16,32,9,1,4,"[57, 24, 13, 5]",regionshuffle,30
S.16,33,2,1,10,"[100, 88, 70, 47, 31, 15, 4, 1, 0, 0]",regionshuffle,30
S.16,34,9,5,4,"[83, 25, 5, 1]",regionshuffle,30
S.16,35,0,1,1,[2],regionshuffle,30
S.16,36,20,3,4,"[49, 44, 13, 3]",regionshuffle,30
S.16,37,0,34,1,[1],regionshuffle,30
S.16,38,9,2,4,"[61, 42, 3, 0]",regionshuffle,30
S.16,39,9,6,4,"[88, 19, 8, 1]",regionshuffle,30
S.16,40,1,23,7,"[49, 49, 22, 17, 4, 2, 2]",regionshuffle,30
S.16,41,9,5,4,"[86, 18, 2, 0]",regionshuffle,30
S.16,42,1,3,1,[0],regionshuffle,30
S.16,43,0,2,1,[66],regionshuffle,30
S.16,44,2,1,10,"[86, 57, 51, 44, 37, 23, 16, 9, 3, 1]",regionshuffle,30
S.16,45,2,1,10,"[68, 30, 18, 15, 5, 5, 1, 0, 0, 0]",regionshuffle,30
S.16,46,1,0,10,"[41, 41, 14, 14, 8, 2, 1, 0, 0, 0]",regionshuffle,30
S.16,47,0,4,1,[14],regionshuffle,30
S.16,48,1,2,7,"[39, 33, 21, 8, 3, 0, 0]",regionshuffle,30
S.16,49,5,24,7,"[75, 29, 27, 16, 13, 0, 0]",regionshuffle,30
S.16,50,2,45,10,"[100, 94, 47, 46, 42, 6, 3, 2, 2, 1]",regionshuffle,30
S.16,51,2,67,10,"[75, 66, 44, 33, 10, 10, 1, 1, 0, 0]",regionshuffle,30
S.16,52,1,45,7,"[47, 29, 26, 17, 5, 0, 0]",regionshuffle,30
S.16,53,1,4,1,[91],regionshuffle,30
S.16,54,1,7,1,[0],regionshuffle,30
S.16,55,1,1,1,[4],regionshuffle,30
