Bidder Group,Profile ID,profit_llm,reserve_price_llm
S.1,B1,0,45
S.1,B1,15,15
S.1,B1,36,20
S.1,B1,83,20
S.1,B1,55,20
S.1,B1,15,15
S.1,B1,68,15
S.1,B1,20,20
S.1,B1,20,20
S.1,B1,0,15
S.1,B1,0,15
S.1,B1,44,15
S.1,B1,20,15
S.1,B1,88,15
S.1,B1,37,15
S.1,B1,21,15
S.1,B1,59,15
S.1,B1,66,15
S.1,B1,18,15
S.1,B1,70,15
S.1,B1,0,15
S.1,B1,21,15
S.1,B1,29,15
S.1,B1,41,15
S.1,B1,15,15
S.1,B1,70,15
S.1,B1,83,15
S.1,B1,64,15
S.1,B1,80,15
S.1,B1,83,15
S.1,B1,42,15
S.1,B1,15,15
S.1,B1,0,15
S.1,B1,66,15
S.1,B1,0,15
S.1,B1,64,15
S.1,B1,0,15
S.1,B1,24,15
S.1,B1,15,15
S.1,B1,0,15
S.1,B1,88,15
S.1,B1,36,15
S.1,B1,0,15
S.1,B1,15,15
S.1,B1,59,15
S.1,B1,15,15
S.1,B1,31,15
S.1,B1,36,15
S.1,B1,0,15
S.1,B1,66,15
S.1,B1,0,15
S.1,B1,47,15
S.1,B1,15,15
S.1,B1,47,15
S.1,B1,0,15
S.1,B1,15,15
S.1,B1,49,15
S.1,B1,36,15
S.1,B1,0,15
S.1,B1,57,15
S.11,B11,30,30
S.11,B11,41,30
S.11,B11,53,30
S.11,B11,83,30
S.11,B11,30,30
S.11,B11,39,30
S.11,B11,0,25
S.11,B11,64,30
S.11,B11,49,30
S.11,B11,49,30
S.11,B11,0,25
S.11,B11,33,30
S.11,B11,30,30
S.11,B11,64,30
S.11,B11,30,30
S.11,B11,25,25
S.11,B11,80,30
S.11,B11,0,25
S.11,B11,30,30
S.11,B11,49,30
S.11,B11,64,30
S.11,B11,25,25
S.11,B11,49,30
S.11,B11,49,30
S.11,B11,30,30
S.11,B11,36,30
S.11,B11,75,30
S.11,B11,42,30
S.11,B11,46,30
S.11,B11,36,30
S.11,B11,83,30
S.11,B11,75,30
S.11,B11,64,30
S.11,B11,0,30
S.11,B11,30,30
S.11,B11,30,30
S.11,B11,83,30
S.11,B11,42,30
S.11,B11,49,30
S.11,B11,68,30
S.11,B11,30,30
S.11,B11,0,25
S.11,B11,57,30
S.11,B11,25,25
S.11,B11,49,30
S.11,B11,33,30
S.11,B11,25,25
S.11,B11,68,30
S.11,B11,64,30
S.11,B11,36,30
S.11,B11,46,30
S.11,B11,75,30
S.11,B11,30,30
S.11,B11,46,30
S.11,B11,30,30
S.11,B11,51,30
S.11,B11,83,30
S.11,B11,25,25
S.11,B11,51,30
S.11,B11,30,30
S.12,B12,35,35
S.12,B12,35,35
S.12,B12,0,35
S.12,B12,35,35
S.12,B12,0,35
S.12,B12,0,35
S.12,B12,66,35
S.12,B12,35,35
S.12,B12,20,20
S.12,B12,20,20
S.12,B12,66,20
S.12,B12,64,20
S.12,B12,0,20
S.12,B12,83,20
S.12,B12,86,20
S.12,B12,46,20
S.12,B12,20,20
S.12,B12,46,20
S.12,B12,0,20
S.12,B12,73,20
S.12,B12,0,20
S.12,B12,41,20
S.12,B12,0,20
S.12,B12,0,20
S.12,B12,83,20
S.12,B12,0,20
S.12,B12,73,20
S.12,B12,83,20
S.12,B12,57,20
S.12,B12,30,20
S.12,B12,39,20
S.12,B12,0,20
S.12,B12,21,20
S.12,B12,0,20
S.12,B12,0,20
S.12,B12,10,10
S.12,B12,73,10
S.12,B12,0,10
S.12,B12,73,10
S.12,B12,0,10
S.12,B12,0,20
S.12,B12,0,20
S.12,B12,0,10
S.12,B12,10,10
S.12,B12,0,10
S.12,B12,20,15
S.12,B12,15,15
S.12,B12,0,15
S.12,B12,20,15
S.12,B12,10,10
S.12,B12,0,10
S.12,B12,20,20
S.12,B12,20,20
S.12,B12,78,20
S.12,B12,46,20
S.12,B12,73,20
S.12,B12,86,20
S.12,B12,78,20
S.12,B12,20,20
S.12,B12,44,20
S.13,B13,0,50
S.13,B13,73,35
