Bidder Group,Profile ID,profit_llm,reserve_price_llm
S.1,B1,0,20
S.1,B1,0,60
S.1,B1,0,50
S.1,B1,83,70
S.1,B1,80,80
S.1,B1,50,50
S.1,B1,0,70
S.1,B1,30,30
S.1,B1,0,80
S.1,B1,0,25
S.1,B1,0,80
S.1,B1,0,80
S.1,B1,0,70
S.1,B1,88,70
S.1,B1,0,70
S.1,B1,0,70
S.1,B1,80,80
S.1,B1,0,80
S.1,B1,0,80
S.1,B1,0,80
S.1,B1,0,30
S.1,B1,0,80
S.1,B1,0,85
S.1,B1,0,80
S.1,B1,0,80
S.1,B1,70,70
S.1,B1,83,70
S.1,B1,70,70
S.1,B1,80,70
S.1,B1,83,70
S.1,B1,70,70
S.1,B1,20,20
S.1,B1,0,80
S.1,B1,70,70
S.1,B1,0,80
S.1,B1,70,70
S.1,B1,0,15
S.1,B1,0,70
S.1,B1,10,10
S.1,B1,0,20
S.1,B1,88,70
S.1,B1,70,70
S.1,B1,0,20
S.1,B1,0,30
S.1,B1,59,25
S.1,B1,0,70
S.1,B1,0,70
S.1,B1,0,80
S.1,B1,0,30
S.1,B1,70,70
S.1,B1,0,17
S.1,B1,0,70
S.1,B1,0,80
S.1,B1,0,70
S.1,B1,0,30
S.1,B1,0,70
S.1,B1,70,70
S.1,B1,36,30
S.1,B1,0,100
S.1,B1,0,95
S.2,B2,0,50
S.2,B2,75,75
S.2,B2,0,80
S.2,B2,0,85
S.2,B2,0,90
S.2,B2,0,95
S.2,B2,0,80
S.2,B2,0,100
S.2,B2,25,25
S.2,B2,0,70
S.2,B2,94,60
S.2,B2,10,10
S.2,B2,80,80
S.2,B2,80,80
S.2,B2,0,80
S.2,B2,0,90
S.2,B2,0,25
S.2,B2,80,80
S.2,B2,0,25
S.2,B2,0,80
S.2,B2,0,60
S.2,B2,0,80
S.2,B2,80,80
S.2,B2,0,80
S.2,B2,0,90
S.2,B2,30,30
S.2,B2,0,80
S.2,B2,94,60
S.2,B2,0,80
S.2,B2,80,80
S.2,B2,60,60
S.2,B2,80,80
S.2,B2,0,80
S.2,B2,60,60
S.2,B2,83,60
S.2,B2,0,25
S.2,B2,0,30
S.2,B2,0,30
S.2,B2,80,80
S.2,B2,0,90
S.2,B2,64,64
S.2,B2,0,80
S.2,B2,0,75
S.2,B2,0,30
S.2,B2,60,60
S.2,B2,60,60
S.2,B2,0,80
S.2,B2,0,25
S.2,B2,41,41
S.2,B2,0,80
S.2,B2,60,60
S.2,B2,83,70
S.2,B2,0,80
S.2,B2,0,90
S.2,B2,68,60
