Bidder Group,Profile ID,profit_llm,reserve_price_llm
S.1,B1,0,50
S.1,B1,0,100
S.1,B1,0,80
S.1,B1,83,70
S.1,B1,80,80
S.1,B1,0,100
S.1,B1,0,90
S.1,B1,0,80
S.1,B1,0,90
S.1,B1,0,90
S.1,B1,0,100
S.1,B1,0,100
S.1,B1,0,85
S.1,B1,88,85
S.1,B1,0,70
S.1,B1,0,90
S.1,B1,95,95
S.1,B1,0,95
S.1,B1,0,85
S.1,B1,0,85
S.1,B1,0,100
S.1,B1,0,85
S.1,B1,0,85
S.1,B1,0,90
S.1,B1,0,100
S.1,B1,0,100
S.1,B1,0,95
S.1,B1,85,85
S.1,B1,85,85
S.1,B1,85,85
S.1,B1,0,85
S.1,B1,0,85
S.1,B1,0,85
S.1,B1,0,90
S.1,B1,0,85
S.1,B1,85,85
S.1,B1,0,85
S.1,B1,0,85
S.1,B1,0,85
S.1,B1,0,85
S.1,B1,88,85
S.1,B1,0,100
S.1,B1,0,100
S.1,B1,0,85
S.1,B1,0,85
S.1,B1,0,85
S.1,B1,0,90
S.1,B1,0,100
S.1,B1,0,85
S.1,B1,85,85
S.1,B1,0,85
S.1,B1,0,90
S.1,B1,0,90
S.1,B1,0,95
S.1,B1,0,95
S.1,B1,0,85
S.1,B1,85,85
S.1,B1,0,85
S.1,B1,0,90
S.1,B1,90,90
S.10,B10,0,75
S.10,B10,83,80
S.10,B10,0,90
S.10,B10,0,95
S.10,B10,0,80
S.10,B10,85,85
S.10,B10,85,85
S.10,B10,0,90
S.10,B10,0,90
S.10,B10,0,100
S.10,B10,0,90
S.10,B10,0,100
S.10,B10,0,100
S.10,B10,0,100
S.10,B10,0,100
S.10,B10,0,100
S.10,B10,0,97
S.10,B10,0,100
S.10,B10,0,100
S.10,B10,0,90
S.10,B10,0,80
S.10,B10,85,85
S.10,B10,85,85
S.10,B10,0,85
S.10,B10,85,85
S.10,B10,85,85
S.10,B10,0,85
S.10,B10,0,85
S.10,B10,0,85
S.10,B10,0,85
S.10,B10,0,90
S.10,B10,0,85
S.10,B10,0,90
S.10,B10,80,80
S.10,B10,0,85
S.10,B10,91,85
S.10,B10,85,85
S.10,B10,0,85
S.10,B10,0,85
S.10,B10,0,85
S.10,B10,85,85
S.10,B10,0,85
S.10,B10,88,85
S.10,B10,85,85
S.10,B10,0,85
S.10,B10,85,85
S.10,B10,85,85
S.10,B10,0,85
S.10,B10,85,85
S.10,B10,0,90
S.10,B10,90,90
S.10,B10,0,90
S.10,B10,85,85
S.10,B10,0,85
S.10,B10,90,90
S.10,B10,90,90
S.10,B10,90,90
S.10,B10,0,90
S.10,B10,0,90
S.10,B10,90,90
S.11,B11,30,30
S.11,B11,60,60
S.11,B11,60,60
S.11,B11,83,70
S.11,B11,70,70
S.11,B11,0,80
S.11,B11,0,60
S.11,B11,70,70
S.11,B11,80,80
S.11,B11,80,80
S.11,B11,0,90
S.11,B11,0,90
S.11,B11,70,70
S.11,B11,70,70
S.11,B11,70,70
S.11,B11,70,70
S.11,B11,80,80
S.11,B11,0,80
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,0,60
S.11,B11,0,80
S.11,B11,0,70
S.11,B11,0,70
S.11,B11,0,80
S.11,B11,80,80
S.11,B11,0,80
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,85,85
S.11,B11,85,85
S.11,B11,85,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,85,85
S.11,B11,85,85
S.11,B11,85,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,85,85
S.11,B11,0,85
S.11,B11,85,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,85,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,85,85
S.11,B11,85,85
S.11,B11,0,85
S.11,B11,0,85
S.11,B11,0,85
S.12,B12,50,50
S.12,B12,60,60
S.12,B12,0,75
S.12,B12,80,80
S.12,B12,0,80
S.12,B12,0,80
S.12,B12,0,100
S.12,B12,0,80
S.12,B12,0,60
S.12,B12,0,100
S.12,B12,0,80
S.12,B12,0,90
S.12,B12,0,100
S.12,B12,83,80
S.12,B12,86,80
S.12,B12,80,80
S.12,B12,0,80
S.12,B12,0,90
S.12,B12,0,100
S.12,B12,90,90
S.12,B12,0,90
S.12,B12,0,80
S.12,B12,0,80
S.12,B12,0,100
S.12,B12,0,100
S.12,B12,0,80
S.12,B12,0,95
S.12,B12,85,85
S.12,B12,0,90
S.12,B12,80,80
S.12,B12,0,80
S.12,B12,0,100
S.12,B12,0,90
S.12,B12,0,80
S.12,B12,0,80
S.12,B12,0,100
S.12,B12,80,80
S.12,B12,0,80
S.12,B12,80,80
S.12,B12,0,80
S.12,B12,0,80
S.12,B12,0,100
S.12,B12,0,100
S.12,B12,0,100
S.12,B12,0,100
S.12,B12,0,80
S.12,B12,80,80
S.12,B12,0,100
S.12,B12,0,80
S.12,B12,0,90
S.12,B12,0,100
S.12,B12,0,80
S.12,B12,0,85
S.12,B12,85,85
S.12,B12,85,85
S.12,B12,90,90
S.12,B12,90,90
S.12,B12,0,100
S.12,B12,0,80
S.12,B12,0,90
S.13,B13,0,75
S.13,B13,75,75
S.13,B13,0,75
S.13,B13,94,80
S.13,B13,94,80
S.13,B13,0,80
S.13,B13,0,80
S.13,B13,0,80
S.13,B13,94,80
S.13,B13,80,80
S.13,B13,0,80
S.13,B13,0,80
S.13,B13,0,80
S.13,B13,0,80
S.13,B13,0,80
S.13,B13,0,85
S.13,B13,0,85
S.13,B13,0,85
S.13,B13,85,85
S.13,B13,0,85
S.13,B13,85,85
S.13,B13,0,85
S.13,B13,88,85
S.13,B13,0,85
S.13,B13,0,85
S.13,B13,0,85
S.13,B13,86,85
S.13,B13,0,85
S.13,B13,86,85
S.13,B13,0,85
S.13,B13,85,85
S.13,B13,0,85
S.13,B13,0,85
S.13,B13,85,85
S.13,B13,85,85
S.13,B13,0,85
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,0,85
S.13,B13,0,90
S.13,B13,91,90
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,0,85
S.13,B13,0,85
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,90,90
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,0,85
S.13,B13,0,90
S.13,B13,0,90
S.13,B13,90,90
S.14,B14,80,50
S.14,B14,60,60
S.14,B14,0,70
S.14,B14,0,70
S.14,B14,0,0
S.14,B14,0,50
S.14,B14,94,60
S.14,B14,94,70
S.14,B14,70,70
S.14,B14,0,70
S.14,B14,61,60
S.14,B14,94,70
S.14,B14,70,70
S.14,B14,70,70
S.14,B14,0,70
S.14,B14,70,70
S.14,B14,0,70
S.14,B14,0,70
S.14,B14,70,70
S.14,B14,0,70
S.14,B14,0,70
S.14,B14,0,70
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,80,80
S.14,B14,94,80
S.14,B14,91,80
S.14,B14,0,80
S.14,B14,80,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,80,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,80,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,80,80
S.14,B14,80,80
S.14,B14,80,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,0,90
S.14,B14,0,90
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,0,80
S.14,B14,88,80
S.14,B14,0,90
S.14,B14,80,80
S.14,B14,0,80
S.14,B14,0,80
S.15,B15,0,60
S.15,B15,70,70
S.15,B15,75,75
S.15,B15,0,85
S.15,B15,0,0
S.15,B15,0,85
S.15,B15,0,85
S.15,B15,90,90
S.15,B15,90,90
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,85,85
S.15,B15,0,85
S.15,B15,0,85
S.15,B15,0,100
S.15,B15,0,85
S.15,B15,85,85
S.15,B15,0,85
S.15,B15,0,85
S.15,B15,0,85
S.15,B15,0,85
S.15,B15,0,85
S.15,B15,0,85
S.15,B15,85,85
S.15,B15,0,85
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,0,100
S.15,B15,0,100
S.15,B15,0,85
S.15,B15,0,90
S.15,B15,0,85
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,0,85
S.15,B15,0,90
S.15,B15,90,90
S.15,B15,0,90
S.15,B15,90,90
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,0,100
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,0,80
S.15,B15,0,85
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,90,90
S.15,B15,0,90
S.15,B15,0,90
S.15,B15,90,90
S.15,B15,0,90
S.15,B15,0,90
S.16,B16,0,60
S.16,B16,60,60
S.16,B16,0,60
S.16,B16,60,60
S.16,B16,0,60
S.16,B16,70,70
S.16,B16,0,70
S.16,B16,70,70
S.16,B16,78,70
S.16,B16,0,80
S.16,B16,0,80
S.16,B16,0,80
S.16,B16,80,80
S.16,B16,80,80
S.16,B16,0,90
S.16,B16,0,90
S.16,B16,0,85
S.16,B16,0,85
S.16,B16,85,85
S.16,B16,88,85
S.16,B16,0,85
S.16,B16,85,85
S.16,B16,0,90
S.16,B16,0,90
S.16,B16,0,90
S.16,B16,0,90
S.16,B16,0,90
S.16,B16,50,50
S.16,B16,85,85
S.16,B16,0,85
S.16,B16,0,85
S.16,B16,0,85
S.16,B16,88,85
S.16,B16,0,85
S.16,B16,0,60
S.16,B16,0,85
S.16,B16,0,85
S.16,B16,0,85
S.16,B16,85,85
S.16,B16,0,85
S.16,B16,85,85
S.16,B16,0,50
S.16,B16,0,75
S.16,B16,85,85
S.16,B16,0,85
S.16,B16,0,85
S.16,B16,0,85
S.16,B16,0,85
S.16,B16,0,85
S.16,B16,94,85
S.16,B16,0,90
S.16,B16,0,85
S.16,B16,50,50
S.16,B16,0,80
S.16,B16,0,80
S.16,B16,94,85
S.16,B16,0,85
S.16,B16,85,85
S.16,B16,0,85
S.16,B16,0,85
S.17,B17,0,60
S.17,B17,0,70
S.17,B17,0,80
S.17,B17,0,90
S.17,B17,0,95
S.17,B17,0,55
S.17,B17,0,70
S.17,B17,75,75
S.17,B17,80,80
S.17,B17,0,85
S.17,B17,94,90
S.17,B17,0,95
S.17,B17,0,60
S.17,B17,0,70
S.17,B17,60,60
S.17,B17,0,85
S.17,B17,0,85
S.17,B17,0,85
S.17,B17,0,90
S.17,B17,0,80
S.17,B17,95,95
S.17,B17,0,95
S.17,B17,0,80
S.17,B17,0,85
S.17,B17,0,75
S.17,B17,0,100
S.17,B17,0,85
S.17,B17,85,85
S.17,B17,0,85
S.17,B17,0,90
S.17,B17,0,80
S.17,B17,0,95
S.17,B17,85,85
S.17,B17,0,90
S.17,B17,0,100
S.17,B17,0,95
S.17,B17,0,85
S.17,B17,0,60
S.17,B17,0,85
S.17,B17,75,75
S.17,B17,85,85
S.17,B17,0,85
S.17,B17,0,85
S.17,B17,0,85
S.17,B17,0,85
S.17,B17,0,50
S.17,B17,85,85
S.17,B17,85,85
S.17,B17,0,85
S.17,B17,85,85
S.17,B17,0,85
S.17,B17,85,85
S.17,B17,0,85
S.17,B17,0,85
S.17,B17,0,50
S.17,B17,0,60
S.17,B17,0,85
S.17,B17,85,85
S.17,B17,0,85
S.17,B17,85,85
S.18,B18,0,70
S.18,B18,0,90
S.18,B18,0,25
S.18,B18,0,50
S.18,B18,83,45
S.18,B18,70,70
S.18,B18,94,85
S.18,B18,0,90
S.18,B18,0,80
S.18,B18,0,100
S.18,B18,50,50
S.18,B18,0,80
S.18,B18,0,100
S.18,B18,0,90
S.18,B18,0,100
S.18,B18,91,80
S.18,B18,0,85
S.18,B18,0,85
S.18,B18,0,85
S.18,B18,0,80
S.18,B18,0,85
S.18,B18,0,75
S.18,B18,0,85
S.18,B18,25,25
S.18,B18,0,25
S.18,B18,25,25
S.18,B18,0,25
S.18,B18,0,75
S.18,B18,0,60
S.18,B18,0,20
S.18,B18,0,40
S.18,B18,0,25
S.18,B18,0,85
S.18,B18,0,25
S.18,B18,0,60
S.18,B18,75,70
S.18,B18,85,85
S.18,B18,0,85
S.18,B18,85,85
S.18,B18,0,85
S.18,B18,0,25
S.18,B18,0,85
S.18,B18,0,85
S.18,B18,0,50
S.18,B18,0,70
S.18,B18,0,25
S.18,B18,0,50
S.18,B18,0,85
S.18,B18,0,85
S.18,B18,0,85
S.18,B18,0,90
S.18,B18,0,25
S.18,B18,25,25
S.18,B18,25,25
S.18,B18,0,85
S.18,B18,0,25
S.18,B18,88,85
S.18,B18,25,25
S.18,B18,0,85
S.18,B18,85,85
S.19,B19,55,45
S.19,B19,66,60
S.19,B19,0,0
S.19,B19,0,75
S.19,B19,75,75
S.19,B19,75,75
S.19,B19,0,75
S.19,B19,0,75
S.19,B19,0,75
S.19,B19,75,75
S.19,B19,75,75
S.19,B19,0,60
S.19,B19,75,75
S.19,B19,0,75
S.19,B19,0,0
S.19,B19,0,75
S.19,B19,0,75
S.19,B19,0,75
S.19,B19,75,75
S.19,B19,75,75
S.19,B19,0,75
