Bidder Group,Profile ID,profit_llm,reserve_price_llm
S.10,B10,0,25
S.10,B10,83,20
S.10,B10,20,20
S.10,B10,80,20
S.10,B10,0,20
S.10,B10,75,20
S.10,B10,73,20
S.10,B10,20,20
S.10,B10,20,20
S.10,B10,0,15
S.10,B10,20,20
S.10,B10,15,15
S.10,B10,25,25
S.10,B10,49,25
S.10,B10,15,15
S.10,B10,23,15
S.10,B10,78,15
S.10,B10,36,15
S.10,B10,15,15
S.10,B10,80,15
S.10,B10,39,15
S.10,B10,51,15
S.10,B10,73,15
S.10,B10,68,15
S.10,B10,26,15
S.10,B10,64,15
S.10,B10,15,15
S.10,B10,27,15
S.10,B10,70,15
S.10,B10,46,15
S.10,B10,64,15
S.10,B10,15,15
S.10,B10,41,15
S.10,B10,55,15
S.10,B10,49,15
S.10,B10,91,15
S.10,B10,51,15
S.10,B10,51,15
S.10,B10,23,15
S.10,B10,15,15
S.10,B10,55,15
S.10,B10,23,15
S.10,B10,88,15
S.10,B10,78,15
S.10,B10,31,15
S.10,B10,83,15
S.10,B10,26,15
S.10,B10,64,15
S.10,B10,51,15
S.10,B10,80,15
S.10,B10,51,15
S.10,B10,15,15
S.10,B10,49,15
S.10,B10,15,15
S.10,B10,78,15
S.10,B10,51,15
S.10,B10,83,15
S.10,B10,15,15
S.10,B10,57,15
S.10,B10,51,15
S.11,B11,25,25
S.11,B11,41,25
S.11,B11,53,25
S.11,B11,83,25
S.11,B11,25,25
S.11,B11,39,25
S.11,B11,0,25
S.11,B11,64,25
S.11,B11,49,25
S.11,B11,49,25
S.11,B11,0,25
S.11,B11,33,25
S.11,B11,25,25
S.11,B11,64,25
S.11,B11,25,25
S.11,B11,13,13
S.11,B11,80,13
S.11,B11,0,13
S.11,B11,24,13
S.11,B11,49,13
S.11,B11,64,13
S.11,B11,13,13
S.11,B11,49,13
S.11,B11,49,13
S.11,B11,13,13
S.11,B11,36,13
S.11,B11,75,13
S.11,B11,42,13
S.11,B11,46,13
S.11,B11,36,13
S.11,B11,83,13
S.11,B11,75,13
S.11,B11,64,13
S.11,B11,13,13
S.11,B11,20,13
S.11,B11,23,13
S.11,B11,83,13
S.11,B11,42,13
S.11,B11,49,13
S.11,B11,68,13
S.11,B11,20,13
S.11,B11,0,13
S.11,B11,57,13
S.11,B11,13,13
S.11,B11,49,13
S.11,B11,33,13
S.11,B11,13,13
S.11,B11,68,13
S.11,B11,64,13
S.11,B11,36,13
S.11,B11,46,13
S.11,B11,75,13
S.11,B11,20,13
S.11,B11,46,13
S.11,B11,13,13
S.11,B11,51,13
S.11,B11,83,13
S.11,B11,13,13
S.11,B11,51,13
S.11,B11,22,13
S.12,B12,30,30
S.12,B12,25,25
S.12,B12,0,15
S.12,B12,22,20
S.12,B12,0,15
S.12,B12,17,15
S.12,B12,66,15
S.12,B12,15,15
S.12,B12,15,15
S.12,B12,15,15
S.12,B12,66,15
S.12,B12,64,15
S.12,B12,0,15
S.12,B12,83,15
S.12,B12,86,15
S.12,B12,46,15
S.12,B12,15,15
S.12,B12,46,15
S.12,B12,0,15
S.12,B12,73,15
S.12,B12,17,15
S.12,B12,41,15
S.12,B12,0,15
S.12,B12,0,15
S.12,B12,83,15
S.12,B12,17,15
S.12,B12,73,15
S.12,B12,83,15
S.12,B12,57,15
S.12,B12,30,15
S.12,B12,39,15
S.12,B12,0,15
S.12,B12,21,15
S.12,B12,0,15
S.12,B12,17,15
S.12,B12,0,15
S.12,B12,73,15
S.12,B12,0,15
S.12,B12,73,15
S.12,B12,0,15
S.12,B12,0,15
S.12,B12,0,15
S.12,B12,0,15
S.12,B12,15,15
S.12,B12,0,15
S.12,B12,20,15
S.12,B12,15,15
S.12,B12,0,15
S.12,B12,20,15
S.12,B12,15,15
S.12,B12,0,15
S.12,B12,15,15
S.12,B12,15,15
S.12,B12,78,15
S.12,B12,46,15
S.12,B12,73,15
S.12,B12,86,15
S.12,B12,78,15
S.12,B12,15,15
S.12,B12,44,15
S.13,B13,44,40
S.13,B13,73,30
S.13,B13,41,30
S.13,B13,94,30
S.13,B13,94,30
S.13,B13,0,30
S.13,B13,44,30
S.13,B13,0,5
S.13,B13,94,25
S.13,B13,0,0
S.13,B13,0,60
