round,participantID,cost,demand,order,price,profit,sales,mode
1,1,3,281,200,12,1800,200,intrinsic
2,1,3,260,150,12,1350,150,intrinsic
3,1,3,13,150,12,-294,13,intrinsic
4,1,3,275,150,12,1350,150,intrinsic
5,1,3,106,150,12,822,106,intrinsic
6,1,3,155,150,12,1350,150,intrinsic
7,1,3,233,175,12,1575,175,intrinsic
8,1,3,12,200,12,-456,12,intrinsic
9,1,3,167,150,12,1350,150,intrinsic
10,1,3,146,150,12,1302,146,intrinsic
11,1,3,87,200,12,444,87,intrinsic
12,1,3,180,150,12,1350,150,intrinsic
13,1,3,188,150,12,1350,150,intrinsic
14,1,3,77,150,12,474,77,intrinsic
15,1,3,80,200,12,360,80,intrinsic
16,1,9,210,200,12,600,200,intrinsic
17,1,9,157,180,12,264,157,intrinsic
18,1,9,172,200,12,264,172,intrinsic
19,1,9,80,200,12,-840,80,intrinsic
20,1,9,82,150,12,-366,82,intrinsic
21,1,9,236,150,12,450,150,intrinsic
22,1,9,2,150,12,-1326,2,intrinsic
23,1,9,233,185,12,555,185,intrinsic
24,1,9,244,150,12,450,150,intrinsic
25,1,9,208,150,12,450,150,intrinsic
26,1,9,9,150,12,-1242,9,intrinsic
27,1,9,122,150,12,114,122,intrinsic
28,1,9,252,120,12,360,120,intrinsic
29,1,9,240,150,12,450,150,intrinsic
30,1,9,107,145,12,-21,107,intrinsic
1,4,3,281,150,12,1350,150,intrinsic
2,4,3,260,150,12,1350,150,intrinsic
3,4,3,13,150,12,-294,13,intrinsic
4,4,3,275,150,12,1350,150,intrinsic
5,4,3,106,200,12,672,106,intrinsic
6,4,3,155,175,12,1335,155,intrinsic
7,4,3,233,200,12,1800,200,intrinsic
8,4,3,12,150,12,-306,12,intrinsic
9,4,3,167,200,12,1404,167,intrinsic
10,4,3,146,150,12,1302,146,intrinsic
11,4,3,87,150,12,594,87,intrinsic
12,4,3,180,150,12,1350,150,intrinsic
13,4,3,188,150,12,1350,150,intrinsic
14,4,3,77,150,12,474,77,intrinsic
15,4,3,80,180,12,420,80,intrinsic
